"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.12762931863912e-15,0.788469118572436,0.437,0.263,1.71561365663258e-10,"6","Gm17056"
6.60818992164821e-15,1.10397837477537,0.261,0.13,1.85016101426307e-10,"6","Col27a1"
7.20665716953781e-15,1.70755115507933,0.124,0.043,2.0177198743272e-10,"6","Zfp608"
7.64900364470805e-15,1.03376712507687,0.362,0.208,2.14156804044536e-10,"6","Isoc1"
8.95934559818914e-15,0.564934364794687,0.617,0.438,2.50843758058099e-10,"6","Pttg1ip"
8.97142622900476e-15,0.516077259845893,0.852,0.737,2.51181991559675e-10,"6","Ier5"
9.01846470627355e-15,1.64608416169566,0.134,0.049,2.52498974846247e-10,"6","Zfp9"
9.09407417574183e-15,0.73163048564184,0.538,0.36,2.5461588877242e-10,"6","Hspg2"
1.0656751284686e-14,1.10785890555233,0.469,0.291,2.9836772246864e-10,"6","Gpm6b"
1.08953613500953e-14,1.44107968036916,0.134,0.049,3.05048327079968e-10,"6","Lrrc8c"
1.10627140264414e-14,1.68059701058924,0.171,0.072,3.09733867312308e-10,"6","Plxdc2"
1.1624305000395e-14,0.630757038508036,0.646,0.476,3.25457291401059e-10,"6","Pik3r1"
1.18988328240317e-14,0.469002665965476,0.831,0.696,3.33143521407238e-10,"6","Ttc3"
1.40467896586785e-14,1.46549996644673,0.178,0.076,3.93282016863681e-10,"6","Mettl7a1"
1.43127481669988e-14,0.942155861606849,0.39,0.231,4.00728323179631e-10,"6","Axl"
1.43305186993748e-14,1.02232915604834,0.347,0.201,4.01225862545097e-10,"6","Pmm1"
1.50575879738402e-14,1.62061266003186,0.146,0.056,4.21582348091577e-10,"6","Trpc1"
